post_id,text_content,hashtags,mentions,keywords,topic_category,platform_id
5835j01ch74k,"Attended the Google WinterWonders event yesterday. Disappointed with the quality. #BestValue, #Exclusive, #ProductLaunch Let me know what you think!","#BestValue, #Exclusive, #ProductLaunch",@CelebrityName,"traditional, price, budget, delivery",Support,5
mvoxuyus5244,Attended the Microsoft HolidaySpecial event yesterday. Wouldn't recommend. #Innovation Curious about your experience too.,#Innovation,"@BrandSupport, @NewsOutlet","durable, slow, expensive",Product,5
gmd4w7hxu7bx,"Any advice about Microsoft's Surface Go?  #Fitness, #Discount Let me know what you think!","#Fitness, #Discount",,"price, satisfaction, fast, competitive",Support,3
vo1wr5o2kz6u,"Just unboxed my new Air Max from Nike. Best purchase ever. Loving it #Eco, #TrendAlert","#Eco, #TrendAlert",,"luxury, feature, helpful",Returns,5
xoistx7gh5xw,Bummed out with my new Galaxy Z Fold from Samsung! Had issues with it. #NewRelease,#NewRelease,"@BrandCEO, @InfluencerName","service, disappointing",Delivery,3
43voh56zgv5o,"Just saw an ad for Toyota Highlander during the EarthDay. Had issues with it. #Lifestyle, #Health, #NewRelease","#Lifestyle, #Health, #NewRelease","@InfluencerName, @ProductTeam","service, durable, helpful, recommendation",Support,2
n471xhu8ai9r,"Delighted with my new Corolla from Toyota! Exceeded my expectations. #Health, #Food Really interested in hearing your thoughts!","#Health, #Food",,"poor, experience, efficient",Marketing,4
14ijp89s2ymd,Just unboxed my new iMac from Apple. Not bad. Could someone explain #Beauty Really interested in hearing your thoughts!,#Beauty,"@ProductTeam, @InfluencerName","budget, disappointing",Delivery,2
8swyo9r1hujz,Has anyone else experienced customer service with Google's Nest Hub? Highly recommend.  #Discount Let me know what you think!,#Discount,,"slow, disappointing, sustainable, performance",Pricing,4
qpat91c9mle4,"Could someone explain with my new NMD from Adidas! Disappointed with the quality. #NewRelease, #Sale","#NewRelease, #Sale","@CelebrityName, @ProductTeam","design, helpful, experience, cheap",Returns,5
pju2yqbmvo0q,Just saw an ad for Pepsi Pepsi Wild Cherry during the SpringBlast2025. Worth every penny. #Beauty,#Beauty,@BrandCEO,"unique, quality",Support,2
l549wbobdlz0,"What's your opinion about Adidas's Superstar?  #Sale, #Affordable Really interested in hearing your thoughts!","#Sale, #Affordable",,"helpful, slow, responsive, feature",Marketing,1
3xe1w589uy19,"Just unboxed my new Coke Zero from Coca-Cola. Disappointed with the quality. Cannot believe #Premium, #Travel, #Sale","#Premium, #Travel, #Sale",,"outdated, innovation, quality",Returns,2
fraf8srr46jk,"Toyota PowerRelease is excellent! Can't wait to see what's coming next. #Limited, #Discount, #Innovation Really interested in hearing your thoughts!","#Limited, #Discount, #Innovation","@StyleGuide, @ProductTeam","unique, reliable, premium, improved",Support,2
co46ceg79362,"Just saw an ad for Amazon Halo Band during the ReferralBonus. Does the job. #Discount, #Beauty","#Discount, #Beauty",@MarketingTeam,"quality, stylish, feature, experience",Pricing,1
3yrdpo4kwpkl,Just saw an ad for Amazon Echo Dot during the WinterWonders. Absolutely loving it. #Fitness,#Fitness,"@RetailSupport, @ReviewSite","sustainable, modern, helpful",Pricing,1
jf60ezzrnri7,"Has anyone else experienced software bugs with Adidas's Superstar? Not worth the money.  #Quality, #Food, #Innovation","#Quality, #Food, #Innovation",,"traditional, eco-friendly, helpful, service",Product,5
z5hxataf83dc,Cannot believe with my new Kindle from Amazon! It's okay. #Discount Curious about your experience too.,#Discount,,"outdated, innovation, service",Product,2
3saj4stqf8wd,Just tried the Diet Coke from Coca-Cola. As expected. #Deal Curious about your experience too.,#Deal,"@IndustryExpert, @TechHelp","value, quality",Marketing,2
ojldckgkty8g,"Comparing Adidas Yeezy to the competition. Returning it ASAP. #Sale, #Food Curious about your experience too.","#Sale, #Food",@InfluencerName,"helpful, poor",Returns,2
96ovglmnswx4,"Just saw an ad for Samsung Galaxy Buds during the LoyaltyRewards. Not worth the money. #CustomerService, #BestValue","#CustomerService, #BestValue",,"poor, amazing, responsive",Marketing,1
jpeoc36v6oop,"Just unboxed my new Xbox Series X from Microsoft. Disappointed with the quality. Cannot believe #Exclusive, #Fashion, #Premium","#Exclusive, #Fashion, #Premium","@CustomerService, @RetailSupport","upgraded, fast",Pricing,3
tndswoi5ja9h,"Attended the Microsoft FallCollection event yesterday. Had issues with it. #Beauty, #BestValue, #MustHave Really interested in hearing your thoughts!","#Beauty, #BestValue, #MustHave",,"satisfaction, slow",Returns,5
qj0o6qf0fu31,"Has anyone else experienced connectivity issues with Pepsi's Crystal Pepsi? It's okay. @CelebrityName #NewRelease, #Discount, #Promo","#NewRelease, #Discount, #Promo",@CelebrityName,"budget, fast, competitive",Support,4
3ljxxjocn6xu,"Just tried the Surface Pro from Microsoft. Not worth the money. #Fitness, #NewRelease Curious about your experience too.","#Fitness, #NewRelease",,"luxury, disappointing",Returns,2
4av76o5lrklj,"Nike SpringBlast2025 is overpriced! Can't wait to see what's coming next. #SpecialOffer, #BestValue, #Sustainable Let me know what you think!","#SpecialOffer, #BestValue, #Sustainable",@CustomerService,"design, competitive, improved",Product,3
x9vyodex8s09,My two days review of Apple AirPods Pro: Returning it ASAP. #Lifestyle Curious about your experience too.,#Lifestyle,@ProductTeam,"budget, recommendation, fast",Pricing,5
znx3f0pntt6q,"How do I fix about Coca-Cola's Diet Coke?  #Trending, #Fashion Would love to get your feedback!","#Trending, #Fashion",,"sustainable, fast, customer, competitive",Returns,5
p21xzhqoak1r,Nike LaunchWave is fantastic! Can't wait to see what's coming next. #Reviews Let me know what you think!,#Reviews,"@CompetitorBrand, @NewsOutlet","traditional, premium, upgraded, eco-friendly",Pricing,5
utufcgon5clx,"Frustrated with my new iPad Air from Apple! Not worth the money. #Affordable, #TrendAlert, #NewRelease","#Affordable, #TrendAlert, #NewRelease",,"unique, price",Product,4
1ta7z3f4rgy6,"What's your opinion about Adidas's NMD? @InfluencerName, @TechHelp #MustHave, #Travel Would love to get your feedback!","#MustHave, #Travel","@InfluencerName, @TechHelp","excellent, value, cheap, satisfaction",Delivery,4
893mxn232bq8,"Just unboxed my new Superstar from Adidas. Not bad. Frustrated #Health, #ProductLaunch, #TrendAlert Would love to get your feedback!","#Health, #ProductLaunch, #TrendAlert",@CelebrityName,"traditional, cheap",Support,4
krdf7wmtl3wz,"My one week review of Pepsi Crystal Pepsi: It's okay. #ProductLaunch, #Health Let me know what you think!","#ProductLaunch, #Health",,"customer, value",Support,5
hzzigzusibyb,Apple CustomerFirst is frustrating! Can't wait to see what's coming next. #Innovation Let me know what you think!,#Innovation,"@CelebrityName, @InfluencerName","satisfaction, disappointing, efficient, recommendation",Pricing,3
79xztajop3zf,"Just unboxed my new Galaxy Buds from Samsung. Exceeded my expectations. Cannot believe #Sustainable, #Fashion","#Sustainable, #Fashion",@ReviewSite,"service, budget, unique, improved",Product,2
pyrzquxow04u,My two days review of Google Nest Hub: Does the job. #Premium Would love to get your feedback!,#Premium,@MarketingTeam,"traditional, innovation",Returns,1
j2kkweywngsg,"My one week review of Nike FlyKnit: Had issues with it. #Sale, #Tech Let me know what you think!","#Sale, #Tech",@ReviewSite,"amazing, modern",Pricing,4
b6o7z8j3xpx5,Just tried the Zoom Pegasus from Nike. Not worth the money. #Beauty Let me know what you think!,#Beauty,@BrandCEO,"fast, price, unique",Returns,5
71bq1npc4f13,Just unboxed my new iPhone 15 from Apple. Best purchase ever. Loving it #BestValue Would love to get your feedback!,#BestValue,@BrandCEO,"disappointing, recommendation, sustainable",Pricing,4
qsggigrf6810,"Any advice about Adidas's NMD? @StyleGuide, @ReviewSite #Health, #Innovation, #NewRelease Let me know what you think!","#Health, #Innovation, #NewRelease","@StyleGuide, @ReviewSite","outdated, delivery, helpful",Delivery,4
7j0x49kuavro,"So happy with my new Surface Pro from Microsoft! Mixed feelings about it. #Quality, #SpecialOffer","#Quality, #SpecialOffer",@RetailSupport,"quality, responsive",Marketing,1
tgixszoqgjva,"Has anyone else experienced delivery delays with Samsung's Galaxy Z Fold? Best purchase ever. @ProductTeam #Limited, #Fitness, #BestValue","#Limited, #Fitness, #BestValue",@ProductTeam,"innovation, slow",Support,5
9wgtfpmlpr60,"Just tried the Galaxy Watch from Samsung. Not worth the money. #Exclusive, #SpecialOffer, #Food Let me know what you think!","#Exclusive, #SpecialOffer, #Food",,"excellent, delivery, reliable",Support,3
aw2qsv2r8r1h,My two days review of Google Chromebook: Disappointed with the quality. #Fitness Let me know what you think!,#Fitness,,"quality, eco-friendly",Support,2
xdzk1zgapq50,"Apple NewYearNewYou is impressive! Can't wait to see what's coming next. #Food, #Promo Curious about your experience too.","#Food, #Promo",@CompetitorBrand,"improved, modern, feature",Support,4
14grhp9r4kjf,"Toyota LocalTouchpoints is impressive! Can't wait to see what's coming next. #Quality, #Travel, #Food Would love to get your feedback!","#Quality, #Travel, #Food","@StyleGuide, @CustomerService","excellent, helpful",Delivery,5
2fdl6uhmfuwn,"Comparing Pepsi Pepsi Wild Cherry to the competition. Not worth the money. #NewRelease, #Sale, #Food","#NewRelease, #Sale, #Food",,"durable, user-friendly",Pricing,1
buj60e7ia7ie,My one week review of Google Pixel 8: Had issues with it. #Eco Let me know what you think!,#Eco,"@BrandCEO, @StyleGuide","budget, innovation, cheap, premium",Delivery,5
t69pgh727nwq,Just tried the Air Jordan from Nike. Mixed feelings about it. #Limited Let me know what you think!,#Limited,@CelebrityName,"value, modern",Marketing,2
pqqhloddvlcw,"Has anyone else experienced delivery delays with Samsung's Galaxy Z Fold? Had issues with it. @StyleGuide, @ReviewSite #ProductLaunch",#ProductLaunch,"@StyleGuide, @ReviewSite","excellent, service, reliable, quality",Marketing,2
qjxu3bkzau6o,Just saw an ad for Apple Vision Pro during the WinterWonders. Absolutely loving it. #Eco,#Eco,@CelebrityName,"delivery, unique, poor, quality",Delivery,3
9abgtmd1zkji,"Has anyone else experienced software bugs with Adidas's Gazelle? Had issues with it.  #Quality, #Health","#Quality, #Health",,"price, durable, delivery",Marketing,3
kp5vbfo54srt,"Comparing Apple Apple Watch to the competition. Disappointed with the quality. #Sustainable, #SpecialOffer, #Promo Really interested in hearing your thoughts!","#Sustainable, #SpecialOffer, #Promo",@TrendSetter,"helpful, durable, fast, modern",Product,1
rmzol5y60rw0,"Just saw an ad for Coca-Cola Sprite during the HolidaySpecial. Mixed feelings about it. #Deal, #Innovation, #Lifestyle","#Deal, #Innovation, #Lifestyle",,"recommendation, durable, outdated",Delivery,1
j7yamof8cvq4,"Just tried the Xbox Elite Controller from Microsoft. Disappointed with the quality. #Eco, #Discount, #Travel","#Eco, #Discount, #Travel",@BrandCEO,"excellent, upgraded, feature, modern",Delivery,3
1n1ckq1na9sr,"Has anyone else experienced delivery delays with Google's Pixel Buds? Not bad.  #Affordable, #Promo, #Tech","#Affordable, #Promo, #Tech",,"disappointing, experience, traditional, satisfaction",Support,4
gs0wmm4ncyqy,"Delighted with my new Highlander from Toyota! Highly recommend. #Quality, #Fitness, #Trending Curious about your experience too.","#Quality, #Fitness, #Trending",@StyleGuide,"expensive, modern, eco-friendly",Pricing,1
6waf2cifsxl2,"Attended the Pepsi NextGeneration event yesterday. Absolutely loving it. #Deal, #BestValue Would love to get your feedback!","#Deal, #BestValue",,"responsive, poor, outdated, stylish",Support,3
u3ztid6rcwr0,"Just saw an ad for Google Chromebook during the ValentinesDeals. Exceeded my expectations. #MustHave, #Discount, #SpecialOffer","#MustHave, #Discount, #SpecialOffer","@RetailSupport, @TechHelp","delivery, premium, improved",Delivery,5
8g38cuylk1az,"My three months review of Amazon Eero WiFi: Absolutely loving it. #Deal, #Affordable Let me know what you think!","#Deal, #Affordable",@IndustryExpert,"customer, outdated, competitive, stylish",Delivery,5
bihcdcnxpp4p,"Just tried the Sienna from Toyota. Disappointed with the quality. #CustomerService, #MustHave, #Eco Really interested in hearing your thoughts!","#CustomerService, #MustHave, #Eco",,"sustainable, delivery, recommendation",Returns,3
ecumbczlyiyo,"Has anyone else experienced customer service with Apple's AirPods Pro? Not bad. @MarketingTeam #Travel, #Affordable, #BestValue","#Travel, #Affordable, #BestValue",@MarketingTeam,"outdated, cheap, helpful",Pricing,2
8n7zs5nnalwm,"Comparing Google Nest Hub to the competition. Highly recommend. #NewRelease, #Lifestyle, #Innovation Curious about your experience too.","#NewRelease, #Lifestyle, #Innovation",,"traditional, disappointing, competitive",Pricing,1
k9do5x6otk4m,"My one year review of Apple Vision Pro: Highly recommend. #Travel, #NewRelease Really interested in hearing your thoughts!","#Travel, #NewRelease","@StyleGuide, @RetailSupport","budget, eco-friendly, value, fast",Pricing,4
97q4vea49hyv,"Just saw an ad for Pepsi Diet Pepsi during the BackToSchool. Highly recommend. #TrendAlert, #Premium","#TrendAlert, #Premium",@StyleGuide,"eco-friendly, service, value",Delivery,5
rgt4wvg3zssk,"Just unboxed my new Galaxy Z Fold from Samsung. Exceeded my expectations. Can't contain my excitement #NewRelease, #Tech, #Sustainable","#NewRelease, #Tech, #Sustainable",@TechHelp,"amazing, competitive",Marketing,3
rww4omt1rad1,"Anyone have tips about Adidas's Samba? @TechHelp #MustHave, #NewRelease, #Discount Would love to get your feedback!","#MustHave, #NewRelease, #Discount",@TechHelp,"improved, customer, fast",Pricing,2
gut4x869v3b1,Just saw an ad for Microsoft Xbox Elite Controller during the CustomerFirst. Wouldn't recommend. #CustomerService,#CustomerService,@BrandCEO,"user-friendly, design",Returns,5
vlj4e9qu6cb6,"Has anyone else experienced customer service with Samsung's Neo QLED TV? Returning it ASAP.  #Reviews, #BestValue","#Reviews, #BestValue",,"traditional, design",Product,1
yry0lvohvo08,"Should I upgrade about Toyota's Tacoma? @CustomerService #TrendAlert, #CustomerService, #Quality Let me know what you think!","#TrendAlert, #CustomerService, #Quality",@CustomerService,"poor, eco-friendly",Marketing,1
67d6fsv09zzv,Just unboxed my new Galaxy S25 from Samsung. Mixed feelings about it. Super excited #Lifestyle,#Lifestyle,"@IndustryExpert, @ReviewSite","upgraded, efficient",Pricing,3
e2iibnfyb383,Just saw an ad for Pepsi Pepsi Wild Cherry during the WinterWonders. Disappointed with the quality. #Limited,#Limited,@ReviewSite,"quality, slow",Support,4
1we3o55iqdhm,"Comparing Samsung Galaxy S25 to the competition. Highly recommend. #Health, #SpecialOffer Let me know what you think!","#Health, #SpecialOffer",,"design, stylish, competitive, outdated",Delivery,5
9zqxcgpt9lbi,"Just tried the Pepsi Lime from Pepsi. Returning it ASAP. #Fashion, #SpecialOffer, #Tech Curious about your experience too.","#Fashion, #SpecialOffer, #Tech","@CelebrityName, @TrendSetter","traditional, helpful",Returns,5
3dnw4nvmpfg4,"Adidas HolidaySpecial is impressive! Can't wait to see what's coming next. #CustomerService, #Fashion Curious about your experience too.","#CustomerService, #Fashion",,"disappointing, feature, upgraded",Delivery,3
ddtvwn87r5u3,Has anyone else experienced battery problems with Pepsi's Diet Pepsi? Not worth the money.  #Health,#Health,,"excellent, competitive",Product,4
qjn495dia87q,"Just unboxed my new Coke Zero from Coca-Cola. Mixed feelings about it. Loving it #Premium, #BestValue, #MustHave","#Premium, #BestValue, #MustHave","@RetailSupport, @CelebrityName","luxury, competitive, innovation, upgraded",Delivery,2
6lx9o97d5j4r,"Comparing Apple Vision Pro to the competition. Disappointed with the quality. #Innovation, #NewRelease Would love to get your feedback!","#Innovation, #NewRelease",@CustomerService,"fast, disappointing, outdated",Support,2
u8obvsviux4j,Comparing Coca-Cola Fanta to the competition. Disappointed with the quality. #Reviews Let me know what you think!,#Reviews,@IndustryExpert,"value, price",Delivery,2
pbf4ijp5jqam,"Has anyone else experienced connectivity issues with Amazon's Fire Tablet? Disappointed with the quality. @TrendSetter, @CustomerService #ProductLaunch",#ProductLaunch,"@TrendSetter, @CustomerService","premium, performance, value, luxury",Marketing,2
53n4hee6o2mk,"Just saw an ad for Amazon Fire TV during the EarthDay. Does the job. #Sale, #SpecialOffer","#Sale, #SpecialOffer",,"delivery, value, performance, slow",Returns,1
laap197kjeri,"Sad to report with my new Corolla from Toyota! Not worth the money. #SpecialOffer, #BestValue, #Tech","#SpecialOffer, #BestValue, #Tech","@IndustryExpert, @NewsOutlet","stylish, design, unique",Returns,1
qwsgw3vr4rnk,"Fed up with my new Air Jordan from Nike! Not worth the money. #Lifestyle, #Exclusive, #Premium","#Lifestyle, #Exclusive, #Premium",@RetailSupport,"stylish, sustainable",Returns,2
f0j9oz4pqfb0,"Just unboxed my new Nest Hub from Google. Disappointed with the quality. Not sure why #Discount, #Trending, #Exclusive","#Discount, #Trending, #Exclusive",,"modern, service",Delivery,5
9sp4bizk38ci,"Attended the Microsoft HolidaySpecial event yesterday. Not worth the money. #BestValue, #Sustainable, #Quality Curious about your experience too.","#BestValue, #Sustainable, #Quality","@InfluencerName, @CustomerService","service, modern",Delivery,2
kqzewj7zchie,"My two days review of Samsung Galaxy Tab: Had issues with it. #Innovation, #Affordable Would love to get your feedback!","#Innovation, #Affordable","@TrendSetter, @ProductTeam","eco-friendly, satisfaction",Support,5
ib9m0v8dtndw,Just saw an ad for Amazon Halo Band during the HolidaySpecial. Disappointed with the quality. #ProductLaunch,#ProductLaunch,@StyleGuide,"upgraded, outdated, recommendation",Product,4
3qrzjsn7t0vq,Just tried the Predator from Adidas. Had issues with it. #SpecialOffer Let me know what you think!,#SpecialOffer,"@CelebrityName, @CompetitorBrand","expensive, excellent, recommendation, budget",Pricing,1
8b8lxdlmkug3,"Apple CustomerFirst is decent! Can't wait to see what's coming next. #Lifestyle, #Deal, #Exclusive Would love to get your feedback!","#Lifestyle, #Deal, #Exclusive",,"price, customer, innovation",Product,2
90qa0r7ys285,"Has anyone else experienced connectivity issues with Apple's iPhone 15? As expected.  #Affordable, #BestValue Let me know what you think!","#Affordable, #BestValue",,"fast, eco-friendly",Pricing,4
mdx0oxkak4tj,Just unboxed my new Kindle from Amazon. Highly recommend. Fed up #CustomerService Let me know what you think!,#CustomerService,@TrendSetter,"slow, feature, customer",Product,4
l966d5uprt2l,"Has anyone else experienced software bugs with Adidas's Stan Smith? Exceeded my expectations.  #SpecialOffer, #Discount, #Limited","#SpecialOffer, #Discount, #Limited",,"competitive, durable, sustainable, eco-friendly",Pricing,4
g7d0tgdwipoy,Just unboxed my new Tacoma from Toyota. Not bad. Feeling let down #Limited Would love to get your feedback!,#Limited,,"competitive, feature",Marketing,3
5p3f8f2xm9gg,Just unboxed my new Chromebook from Google. Absolutely loving it. Can't contain my excitement #Tech,#Tech,@RetailSupport,"traditional, experience",Marketing,5
26thdyb9vqso,Super excited with my new Pixel 8 from Google! Had issues with it. #BestValue Would love to get your feedback!,#BestValue,"@BrandSupport, @NewsOutlet","recommendation, responsive, modern, feature",Delivery,1
xm0rdsu70zwt,"What's your opinion about Pepsi's Pepsi Max? @RetailSupport, @InfluencerName #Innovation Curious about your experience too.",#Innovation,"@RetailSupport, @InfluencerName","reliable, customer, disappointing, helpful",Pricing,5
9bftpl7lpwht,"Just unboxed my new Coca-Cola Vanilla from Coca-Cola. Absolutely loving it. Sad to report #Sustainable, #Limited, #Deal","#Sustainable, #Limited, #Deal",@CelebrityName,"excellent, innovation, quality, stylish",Pricing,4
z3qs7zx42vgo,Has anyone else experienced delivery delays with Amazon's Kindle? Disappointed with the quality. @RetailSupport #Food,#Food,@RetailSupport,"amazing, satisfaction",Returns,3
cgqg0n07jwr0,"Has anyone else experienced customer service with Coca-Cola's Sprite? Wouldn't recommend. @TrendSetter, @StyleGuide #Health, #Premium, #Fitness","#Health, #Premium, #Fitness","@TrendSetter, @StyleGuide","traditional, responsive, service",Delivery,5
bf0akgbij79m,"Just unboxed my new Highlander from Toyota. Worth every penny. Loving it #SpecialOffer, #Health, #CustomerService","#SpecialOffer, #Health, #CustomerService","@RetailSupport, @TechHelp","traditional, delivery, modern",Marketing,4
rf7takgqo5yt,"Just unboxed my new Galaxy S25 from Samsung. Disappointed with the quality. Frustrated #Sale, #BestValue, #Sustainable","#Sale, #BestValue, #Sustainable",,"budget, improved, traditional, excellent",Marketing,3
tc1gmy4saapp,"Loving it with my new Pepsi Max from Pepsi! Not worth the money. #Fashion, #Sustainable, #Discount","#Fashion, #Sustainable, #Discount","@InfluencerName, @NewsOutlet","cheap, poor, design",Support,1
4e2f6fhbindx,"Just unboxed my new Coca-Cola Vanilla from Coca-Cola. It's okay. Cannot believe #Exclusive, #Discount, #NewRelease","#Exclusive, #Discount, #NewRelease","@CustomerService, @InfluencerName","premium, luxury",Pricing,4
oof46wgg4j9x,"Frustrated with my new Mac Mini from Apple! Absolutely loving it. #BestValue, #Premium Would love to get your feedback!","#BestValue, #Premium",,"efficient, budget",Delivery,4
dbwhowiy2bsb,"Just unboxed my new Sprite from Coca-Cola. Worth every penny. Thrilled #Sustainable, #Innovation Really interested in hearing your thoughts!","#Sustainable, #Innovation",,"unique, fast, service, customer",Marketing,3
mtpfiec3whp4,"Just tried the Pepsi Lime from Pepsi. Best purchase ever. #Exclusive, #Food Let me know what you think!","#Exclusive, #Food","@CustomerService, @IndustryExpert","price, modern, satisfaction, unique",Marketing,1
ey3thq5wf6nk,"My one month review of Samsung Neo QLED TV: Exceeded my expectations. #Fitness, #Trending Let me know what you think!","#Fitness, #Trending",@CustomerService,"fast, improved",Marketing,3
12iuhiatl0p0,"Just saw an ad for Adidas Samba during the NewYearNewYou. Not worth the money. #Tech, #Eco","#Tech, #Eco","@ProductTeam, @ReviewSite","outdated, slow, excellent",Support,5
gw2vmwojjzno,"How do I fix about Adidas's Ultraboost?  #Beauty, #Health Would love to get your feedback!","#Beauty, #Health",,"outdated, unique, improved",Delivery,5
tfieyiay5iwc,"Coca-Cola LocalTouchpoints is acceptable! Can't wait to see what's coming next. #Innovation, #Sale Curious about your experience too.","#Innovation, #Sale","@CustomerService, @IndustryExpert","quality, feature",Delivery,1
4rlckndg1s7w,"Delighted with my new Xbox Elite Controller from Microsoft! Worth every penny. #Limited, #Health, #Tech","#Limited, #Health, #Tech","@InfluencerName, @CompetitorBrand","stylish, price",Pricing,1
uh4b2oqycii4,"Adidas NextGeneration is overpriced! Can't wait to see what's coming next. #Deal, #Trending Would love to get your feedback!","#Deal, #Trending",,"poor, innovation, excellent",Pricing,1
nhuopl0n2cbp,Just unboxed my new iPad Air from Apple. Absolutely loving it. Delighted #BestValue Let me know what you think!,#BestValue,"@NewsOutlet, @MarketingTeam","reliable, quality, competitive, value",Marketing,2
am8fodsgv86c,Comparing Microsoft Xbox Elite Controller to the competition. Highly recommend. #Food Curious about your experience too.,#Food,"@TrendSetter, @NewsOutlet","slow, traditional, customer, unique",Delivery,3
dc701k3di921,"Confused about with my new Nest Hub from Google! Wouldn't recommend. #Exclusive, #CustomerService, #Food Let me know what you think!","#Exclusive, #CustomerService, #Food","@CelebrityName, @TechHelp","poor, eco-friendly",Returns,5
kslqmebtr6mi,"Just unboxed my new Dri-FIT from Nike. Absolutely loving it. Delighted #Food, #Quality Would love to get your feedback!","#Food, #Quality",@CelebrityName,"innovation, value, luxury, traditional",Marketing,5
83n9ytqotvui,"Just saw an ad for Toyota RAV4 during the PowerRelease. It's okay. #Limited, #MustHave, #BestValue","#Limited, #MustHave, #BestValue","@CompetitorBrand, @StyleGuide","durable, cheap, upgraded, eco-friendly",Pricing,3
1xfsdx52tmuq,Could someone explain with my new Galaxy S25 from Samsung! Returning it ASAP. #Fashion Would love to get your feedback!,#Fashion,"@ProductTeam, @StyleGuide","competitive, disappointing, service, stylish",Support,1
3yh3emjy8936,Just unboxed my new Pepsi Lime from Pepsi. Worth every penny. Frustrated #BestValue Would love to get your feedback!,#BestValue,"@ReviewSite, @InfluencerName","satisfaction, competitive",Delivery,3
my4e5ncb0u95,Just unboxed my new Echo Dot from Amazon. Disappointed with the quality. Confused about #Deal,#Deal,"@BrandCEO, @TrendSetter","disappointing, unique",Product,5
nrrkk7pbftd7,"Has anyone else experienced connectivity issues with Google's Nest Hub? Had issues with it. @NewsOutlet, @TechHelp #TrendAlert, #CustomerService, #Exclusive","#TrendAlert, #CustomerService, #Exclusive","@NewsOutlet, @TechHelp","recommendation, expensive, price, improved",Product,3
xolqu7x7yx8g,"Just unboxed my new Samba from Adidas. Returning it ASAP. Could someone explain #Travel, #Premium, #Lifestyle","#Travel, #Premium, #Lifestyle",,"innovation, service, cheap",Support,5
bi569hlj0lk8,"Just unboxed my new Pepsi Wild Cherry from Pepsi. Returning it ASAP. Can't contain my excitement #Health, #NewRelease","#Health, #NewRelease",@IndustryExpert,"sustainable, poor",Returns,2
iqw8mhziplnm,"So happy with my new Pepsi Wild Cherry from Pepsi! Had issues with it. #Promo, #SpecialOffer, #Food","#Promo, #SpecialOffer, #Food","@InfluencerName, @CompetitorBrand","premium, poor, responsive, performance",Marketing,1
hj9050vdmxmt,Just tried the Pepsi Wild Cherry from Pepsi. Had issues with it. #Innovation Let me know what you think!,#Innovation,"@TechHelp, @IndustryExpert","poor, responsive, price",Delivery,4
6mhvytqlinrj,Just unboxed my new Air Force 1 from Nike. Wouldn't recommend. Thrilled #Quality Curious about your experience too.,#Quality,"@CompetitorBrand, @MarketingTeam","luxury, responsive, value",Product,3
yhydsls035cf,Comparing Pepsi Diet Pepsi to the competition. Wouldn't recommend. #Limited Would love to get your feedback!,#Limited,,"sustainable, eco-friendly, design, cheap",Pricing,1
dz2opflbylvd,"Has anyone else experienced customer service with Samsung's Galaxy Tab? Not worth the money. @BrandSupport #Lifestyle, #Tech, #Deal","#Lifestyle, #Tech, #Deal",@BrandSupport,"customer, outdated, excellent",Support,2
fsjjayurnudl,"Confused about with my new Tacoma from Toyota! Highly recommend. #Affordable, #NewRelease, #Discount Let me know what you think!","#Affordable, #NewRelease, #Discount","@CelebrityName, @NewsOutlet","price, improved",Product,5
ew8td5ulxx53,Just saw an ad for Apple iPad Air during the LocalTouchpoints. Not worth the money. #Sustainable,#Sustainable,@ProductTeam,"sustainable, expensive, efficient, outdated",Returns,1
faa88n45z9m7,"My one year review of Amazon Fire TV: Does the job. #Reviews, #Quality, #NewRelease Curious about your experience too.","#Reviews, #Quality, #NewRelease",@StyleGuide,"durable, amazing",Pricing,2
3e0lo5c5rfox,"My one year review of Adidas Samba: As expected. #Limited, #Beauty Let me know what you think!","#Limited, #Beauty",@IndustryExpert,"eco-friendly, user-friendly, feature",Support,3
fpipb4okxywo,Comparing Nike FlyKnit to the competition. Wouldn't recommend. #SpecialOffer Would love to get your feedback!,#SpecialOffer,"@BrandCEO, @BrandSupport","service, improved",Support,3
tiett5tvo9go,"Frustrated with my new Corolla from Toyota! Absolutely loving it. #Eco, #Affordable, #Sale Curious about your experience too.","#Eco, #Affordable, #Sale",@InfluencerName,"amazing, customer",Support,4
iyjag9mqhyew,"Just tried the Zoom Pegasus from Nike. Worth every penny. #Food, #NewRelease Curious about your experience too.","#Food, #NewRelease",,"fast, excellent",Product,5
4yfdtxrmta36,"Adidas NextGeneration is typical! Can't wait to see what's coming next. #Promo, #Premium, #Sale Curious about your experience too.","#Promo, #Premium, #Sale","@BrandCEO, @RetailSupport","reliable, delivery, price, service",Product,4
b7p52cpcdg6b,"Attended the Google PowerRelease event yesterday. It's okay. #Travel, #CustomerService Curious about your experience too.","#Travel, #CustomerService","@BrandSupport, @BrandCEO","disappointing, performance",Delivery,1
v3uw1yft80n4,What's your opinion about Coca-Cola's Coke Zero?  #Promo Let me know what you think!,#Promo,,"innovation, performance",Returns,5
uj57rom54nv8,"My one year review of Google Chromebook: Does the job. #CustomerService, #Lifestyle Curious about your experience too.","#CustomerService, #Lifestyle",,"satisfaction, budget",Delivery,2
wjgbgjj147fe,What's your opinion about Google's Nest Thermostat?  #CustomerService Let me know what you think!,#CustomerService,,"improved, modern, amazing",Delivery,4
